date;category;value
01.07.2023;Продовольственные товары;1938.32
01.07.2023;Услуги;1253.91
01.06.2023;Всего;5411.13
01.06.2023;Непродовольственные товары;2046.96
01.06.2023;Общественное питание;230.88
01.06.2023;Продовольственные товары;1889.19
01.06.2023;Услуги;1244.1
01.05.2023;Всего;5297.55
01.05.2023;Непродовольственные товары;1969.64
01.05.2023;Общественное питание;233.54
01.05.2023;Продовольственные товары;1867.6
01.05.2023;Услуги;1226.77
01.04.2023;Всего;5182.54
01.04.2023;Непродовольственные товары;1909.77
01.04.2023;Общественное питание;227.72
01.04.2023;Продовольственные товары;1823.01
01.04.2023;Услуги;1222.04
01.03.2023;Всего;5196.11
01.03.2023;Непродовольственные товары;1901.17
01.03.2023;Общественное питание;227.53
01.03.2023;Продовольственные товары;1825.43
01.03.2023;Услуги;1241.97
01.02.2023;Всего;4804.18
01.02.2023;Непродовольственные товары;1727.5
01.02.2023;Общественное питание;208.02
01.02.2023;Продовольственные товары;1678.36
01.02.2023;Услуги;1190.3
01.01.2023;Всего;4828.14
01.01.2023;Непродовольственные товары;1764.09
01.01.2023;Общественное питание;217.67
01.01.2023;Продовольственные товары;1679.52
01.01.2023;Услуги;1166.86
01.12.2022;Всего;5637.08
01.12.2022;Непродовольственные товары;2070.19
01.12.2022;Общественное питание;230.75
01.12.2022;Продовольственные товары;2134.88
01.12.2022;Услуги;1201.25
01.11.2022;Всего;4904.3
01.11.2022;Непродовольственные товары;1806.31
01.11.2022;Общественное питание;215.79
01.11.2022;Продовольственные товары;1770.89
01.11.2022;Услуги;1111.32
01.10.2022;Всего;4878.46
01.10.2022;Непродовольственные товары;1789.38
01.10.2022;Общественное питание;221.2
01.10.2022;Продовольственные товары;1772.08
01.10.2022;Услуги;1095.8
01.09.2022;Всего;4824.98
01.09.2022;Непродовольственные товары;1773.71
01.09.2022;Общественное питание;221.98
01.09.2022;Продовольственные товары;1727.47
01.09.2022;Услуги;1101.82
01.08.2022;Всего;4926.38
01.08.2022;Непродовольственные товары;1847.69
01.08.2022;Общественное питание;203.73
01.08.2022;Продовольственные товары;1763.78
01.08.2022;Услуги;1111.17
